ID,estacion,Distance
1,HGM,0.013751442
2,MCM,0.00346267
3,IBM,0.013277426
4,MCM,0.013528107
5,MCM,0.014086041
6,IZT,0.025503312
7,HGM,0.012372929
8,HGM,0.002607493
9,HGM,0.020917414
10,BJU,0.019937478
11,MER,0.00904213
12,HGM,0.025283128
13,BJU,0.002271617
14,MGH,0.015635183
15,UIZ,0.037436621
16,HGM,0.020937654
17,MCM,0.013528107
18,IZT,0.023872204
19,MCM,0.003212445
20,IZT,0.030899857
21,HGM,0.021757053
22,MCM,0.003495733
23,UAX,0.019060439
24,LPR,0.034828535
25,COY,0.028228439
26,HGM,0.022038193
27,HGM,0.020949684
28,MCM,0.019500734
29,MCM,0.01894555
30,DIC,0.04838066
31,MCM,0.003212445
32,HGM,0.020916611
33,CAM,0.016286139
34,IZT,0.026983303
35,IZT,0.02297981
36,IZT,0.032193478
37,HGM,0.020858818
38,HGM,0.010232257
39,MCM,0.024765454
40,HGM,0.016255459
41,COR,0.033373639
42,MCM,0.005083379
43,MCM,0.012608987
44,BJU,0.009848797
45,MCM,0.011159409
46,MCM,0.0246342
47,LAA,0.023858018
48,HGM,0.026055075
49,MCM,0.018308548
50,CAM,0.017315424
51,MCM,0.015520097
52,MCM,0.02311519
53,MER,0.004547875
54,MCM,0.018938884
55,MCM,0.003274839
56,MCM,0.023244869
57,HGM,0.021704469
58,HGM,0.022042467
59,UIZ,0.022746577
60,UAX,0.004579378
61,MCM,0.027442498
62,UAX,0.023000301
63,UAX,0.036489828
64,HGM,0.022035814
65,HGM,0.021158403
66,MCM,0.016189682
67,HGM,0.014360485
68,BJU,0.019300113
69,CCA,0.01747778
70,MCM,0.002242781
71,MCM,0.009570901
72,MCM,0.007924818
73,BJU,0.002281617
74,HGM,0.020506327
75,MCM,0.019650542
76,BJU,0.010301678
77,HGM,0.017968301
78,UIZ,0.015723403
79,HGM,0.021807982
80,HGM,0.015929362
81,MCM,0.01658092
82,IZT,0.022500753
83,HGM,0.019548094
84,COY,0.021704014
85,CAM,0.02795082
86,MCM,0.022247444
87,MGH,0.024237159
88,HGM,0.021869427
89,HGM,0.02204624
90,HGM,0.020803245
91,LAA,0.012527893
92,IZT,0.02544437
93,MCM,0.021492016
94,HGM,0.014611194
95,HGM,0.02058127
96,HGM,0.021500943
97,BJU,0.00226189
98,MCM,0.003743334
99,HGM,0.021561407
100,MCM,0.0103639
101,MCM,0.003278225
102,MCM,0.008764672
103,UIZ,0.021002143
104,MCM,0.018952249
105,MCM,0.018516032
106,MCM,0.019353355
107,UIZ,0.013376281
108,HGM,0.021385008
109,HGM,0.020951888
110,HGM,0.021309645
111,HGM,0.021787074
112,NEZ,0.024043921
113,MCM,0.004223592
114,UIZ,0.012802491
115,MCM,0.0135272
116,HGM,0.020971886
117,HGM,0.021327877
118,HGM,0.017732959
119,MCM,0.010838671
120,MCM,0.003731964
121,MCM,0.022013278
122,SHA,0.023621429
123,MCM,0.00424299
124,MCM,0.013527
125,MCM,0.00373649
126,HGM,0.022045283
127,MGH,0.024046635
128,BJU,0.024557787
129,CCA,0.011550998
130,BJU,0.013690268
131,MCM,0.008762194
132,DIC,0.001350939
133,SJA,0.034633726
134,MER,0.008422246
135,MCM,0.020905066
136,PED,0.016779114
137,MCM,0.003212445
138,MCM,0.013513333
139,DIC,0.006649952
140,MCM,0.009064405
141,MCM,0.013525894
142,MER,0.004553194
143,HGM,0.014611194
144,MCM,0.019080168
145,MCM,0.019268996
146,MCM,0.013537753
147,HGM,0.021355544
148,UIZ,0.036522955
149,IZT,0.025362397
150,MCM,0.003212445
151,TEC,0.004800963
152,HGM,0.022307296
153,MCM,0.01636471
154,IZT,0.028869513
155,MCM,0.023576984
156,MCM,0.016720395
157,MCM,0.022585719
158,HGM,0.021365264
159,MCM,0.013547323
160,MCM,0.018912922
161,HGM,0.02228517
162,LAA,0.006976924
163,SHA,0.031366496
164,MCM,0.030350034
165,MCM,0.00328803
166,HGM,0.021308899
167,MCM,0.009570901
168,CUA,0.012013249
169,MCM,0.008998485
170,MCM,0.009562822
171,HGM,0.020917226
172,MCM,0.003214536
173,MGH,0.02067511
174,BJU,0.024324365
175,HGM,0.019315396
176,MCM,0.003206462
177,HGM,0.021866997
178,MCM,0.008319068
179,MCM,0.000667438
180,UIZ,0.013375296
181,HGM,0.030333049
182,MCM,0.0135092
183,MCM,0.003208955
184,MCM,0.003193583
185,UIZ,0.013320585
186,UIZ,0.021558607
187,UIZ,0.02055643
188,GAM,0.006738642
189,MGH,0.023557665
190,NEZ,0.02960798
191,BJU,0.022551202
192,COY,0.036666645
193,MCM,0.01045877
194,MCM,0.018950455
195,MCM,0.019312418
196,MCM,0.004224838
197,MGH,0.023498008
198,HGM,0.02185371
199,BJU,0.00269241
200,UAX,0.030244369
201,MCM,0.024779234
202,SJA,0.015864926
203,GAM,0.016914195
204,MCM,0.018949594
205,MCM,0.019495371
206,MCM,0.00956396
207,MCM,0.01667312
208,GAM,0.017241722
209,MCM,0.018945017
210,MCM,0.007886425
211,MCM,0.003220407
212,MCM,0.015595343
213,UAX,0.02749717
214,UAX,0.022474862
215,BJU,0.029209167
216,GAM,0.017078357
217,MCM,0.019311687
218,SHA,0.028451638
219,IBM,0.014324717
220,NEZ,0.039712897
221,TEC,0.015246246
222,HGM,0.021820574
223,DIC,0.006067511
224,UAX,0.040174485
225,MCM,0.003732249
226,AJU,0.024044293
227,MCM,0.007942268
228,HGM,0.02345954
229,MCM,0.014163783
230,NEZ,0.036685866
231,MCM,0.009613744
232,BJU,0.010298594
233,HGM,0.021751029
234,SHA,0.014318632
235,HGM,0.023329486
236,SHA,0.017354116
237,DIC,0.025166229
238,CCA,0.024127569
239,MCM,0.003218792
240,LAA,0.025525363
241,SHA,0.025734251
242,MCM,0.01236485
243,HGM,0.023510981
244,HGM,0.020757519
