"","Asunto","Latitud","Longitud","fecha","date","day","hour","month"
"1","MNF - Manifestacion",19.4171732569652,-99.1647859572554,2014-01-20,2014-01-20 09:38:00,"Mon",9,"Jan"
"2","MNF - Manifestacion",19.4319629590424,-99.1338283779793,2014-01-20,2014-01-20 09:44:00,"Mon",9,"Jan"
"3","MNF - Manifestacion",19.4320897167965,-99.2082752811771,2014-01-20,2014-01-20 11:45:00,"Mon",11,"Jan"
"4","MNF - Manifestacion",19.4349914171524,-99.1440878127975,2014-01-20,2014-01-20 11:56:00,"Mon",11,"Jan"
"5","MNF - Manifestacion",19.43485,-99.14477,2014-01-20,2014-01-20 13:05:00,"Mon",13,"Jan"
"6","MNF - Manifestacion",19.3965789,-99.0952265,2014-01-20,2014-01-20 21:11:00,"Mon",21,"Jan"
"7","MNF - Manifestacion",19.41602,-99.16377,2014-01-21,2014-01-21 06:29:00,"Tues",6,"Jan"
"8","MNF - Manifestacion",19.41177,-99.15481,2014-01-21,2014-01-21 07:08:00,"Tues",7,"Jan"
"9","MNF - Manifestacion",19.4302050985095,-99.1617997474381,2014-01-21,2014-01-21 10:04:00,"Tues",10,"Jan"
"10","MNF - Manifestacion",19.38012,-99.177,2014-01-21,2014-01-21 10:41:00,"Tues",10,"Jan"
"11","MCH - Marcha",19.4275089270845,-99.1110291684341,2014-01-05,2014-01-05 08:49:00,"Sun",8,"Jan"
"12","MCH - Marcha",19.43643,-99.15706,2014-01-21,2014-01-21 12:38:00,"Tues",12,"Jan"
"13","MNF - Manifestacion",19.37105,-99.16117,2014-01-21,2014-01-21 13:40:00,"Tues",13,"Jan"
"14","MNF - Manifestacion",19.3978543881258,-99.2169582547699,2014-01-22,2014-01-22 07:04:00,"Wed",7,"Jan"
"15","MNF - Manifestacion",19.3434383324741,-99.0407095100647,2014-01-22,2014-01-22 07:52:00,"Wed",7,"Jan"
"16","MNF - Manifestacion",19.4313055530242,-99.1593306401978,2014-01-22,2014-01-22 10:15:00,"Wed",10,"Jan"
"17","MNF - Manifestacion",19.4349914171524,-99.1440878127975,2014-01-22,2014-01-22 10:30:00,"Wed",10,"Jan"
"18","MNF - Manifestacion",19.3965927358693,-99.0971096538589,2014-01-22,2014-01-22 11:38:00,"Wed",11,"Jan"
"19","MNF - Manifestacion",19.4319149,-99.133418,2014-01-22,2014-01-22 11:55:00,"Wed",11,"Jan"
"20","MNF - Manifestacion",19.3965747264516,-99.0892351282502,2014-01-22,2014-01-22 13:07:00,"Wed",13,"Jan"
"21","MNF - Manifestacion",19.4279816964895,-99.1665445751854,2014-01-22,2014-01-22 17:29:00,"Wed",17,"Jan"
"22","MNF - Manifestacion",19.4322133717177,-99.1334555509262,2014-01-06,2014-01-06 09:15:00,"Mon",9,"Jan"
"23","MNF - Manifestacion",19.3206053207901,-99.1137292504013,2014-01-22,2014-01-22 21:13:00,"Wed",21,"Jan"
"24","MNF - Manifestacion",19.5448783048116,-99.1510363305802,2014-01-02,2014-01-02 05:24:00,"Thurs",5,"Jan"
"25","MNF - Manifestacion",19.32807,-99.13965,2014-01-23,2014-01-23 10:15:00,"Thurs",10,"Jan"
"26","MNF - Manifestacion",19.4322458390338,-99.1599615442497,2014-01-23,2014-01-23 10:35:00,"Thurs",10,"Jan"
"27","MCH - Marcha",19.4313131018193,-99.1593451248146,2014-01-23,2014-01-23 10:37:00,"Thurs",10,"Jan"
"28","MNF - Manifestacion",19.43182,-99.15123,2014-01-23,2014-01-23 10:55:00,"Thurs",10,"Jan"
"29","MCH - Marcha",19.4351796898353,-99.1498577050019,2014-01-23,2014-01-23 10:55:00,"Thurs",10,"Jan"
"30","MNF - Manifestacion",19.2752568537575,-99.1435186621796,2014-01-02,2014-01-02 05:36:00,"Thurs",5,"Jan"
"31","MNF - Manifestacion",19.4319149,-99.133418,2014-01-23,2014-01-23 14:14:00,"Thurs",14,"Jan"
"32","MNF - Manifestacion",19.4302000396089,-99.1618077940651,2014-01-23,2014-01-23 14:20:00,"Thurs",14,"Jan"
"33","MNF - Manifestacion",19.4537084609459,-99.1768139335434,2014-01-23,2014-01-23 19:42:00,"Thurs",19,"Jan"
"34","MCH - Marcha",19.398359286906,-99.094541222229,2014-01-23,2014-01-23 20:15:00,"Thurs",20,"Jan"
"35","MNF - Manifestacion",19.3967202,-99.0982347,2014-01-23,2014-01-23 20:41:00,"Thurs",20,"Jan"
"36","MNF - Manifestacion",19.3939709000191,-99.0868990649598,2014-01-24,2014-01-24 07:46:00,"Fri",7,"Jan"
"37","MCH - Marcha",19.4319777441181,-99.1567380448914,2014-01-24,2014-01-24 10:16:00,"Fri",10,"Jan"
"38","MNF - Manifestacion",19.401717742131,-99.1547961665871,2014-01-24,2014-01-24 10:52:00,"Fri",10,"Jan"
"39","MNF - Manifestacion",19.4362532157705,-99.155625128936,2014-01-24,2014-01-24 12:38:00,"Fri",12,"Jan"
"40","MNF - Manifestacion",19.4232838620434,-99.1635262000305,2014-01-24,2014-01-24 17:47:00,"Fri",17,"Jan"
"41","MNF - Manifestacion",19.2876530145251,-99.050863312828,2014-01-24,2014-01-24 20:24:00,"Fri",20,"Jan"
"42","MNF - Manifestacion",19.4310593827254,-99.1272456375977,2014-01-25,2014-01-25 09:00:00,"Sat",9,"Jan"
"43","MNF - Manifestacion",19.4269125831164,-99.1443468735108,2014-01-26,2014-01-26 10:52:00,"Sun",10,"Jan"
"44","MCH - Marcha",19.3625869349657,-99.1629119676842,2014-01-26,2014-01-26 12:34:00,"Sun",12,"Jan"
"45","MNF - Manifestacion",19.4361069,-99.1405859,2014-01-06,2014-01-06 20:00:00,"Mon",20,"Jan"
"46","MNF - Manifestacion",19.4363347595269,-99.1554629376426,2014-01-27,2014-01-27 09:58:00,"Mon",9,"Jan"
